Hour,Price,Uni Value,Debt Value,Net PnL
0,3002.981765758095,10005.194217386052,5004.969609596826,0.22460778922595637
1,3002.151470213075,10004.0404767076,5003.585783688458,0.45469301914181415
2,3006.042908302567,10010.741245340672,5010.071513837612,0.669731503060575
3,3015.213454425362,10026.17280597139,5025.355757375604,0.8170485957853089
4,3013.8017401970837,10024.065264877127,5023.0029003284735,1.0623645486530222
5,3012.3907858428292,10021.957333032116,5020.651309738049,1.3060232940670176
6,3021.920239224499,10037.932426628064,5036.533732040832,1.3986945872320575
7,3026.5620536834676,10045.803891644873,5044.270089472447,1.5338021724264763
8,3023.721600688783,10041.357253782702,5039.536001147972,1.8212526347306266
9,3027.004482574116,10046.988085023682,5045.007470956861,1.9806140668215448
10,3024.2002474401393,10042.602118898329,5040.333745733566,2.268373164763034
11,3021.3846388844154,10038.190924114047,5035.641064807359,2.5498593066886315
12,3022.847114900893,10040.82988952841,5038.078524834822,2.751364693587675
13,3011.30211048202,10021.980073814988,5018.836850803367,3.1432230116206483
14,3000.9315117791034,10004.976815674621,5001.5525196318395,3.4242960427818616
15,2997.5586359302356,9999.581543468194,4995.931059883726,3.6504835844671106
16,2991.492740389204,9989.672314077081,4985.821233982007,3.851080095074394
17,2993.3734685694003,9993.047053539245,4988.955780949001,4.091272590244444
18,2987.9422913487824,9984.18101793761,4979.903818914638,4.277199022972127
19,2979.5144357289773,9970.24814571441,4965.8573928816295,4.390752832779981
20,2988.2610923218913,9985.172144325248,4980.435153869819,4.736990455428895
21,2986.9120398602636,9983.13803524556,4978.18673310044,4.95130214512028
22,2987.3154687177016,9984.043073420924,4978.859114529503,5.183958891420843
23,2978.8152405625,9969.983858967407,4964.692067604167,5.291791363240009
24,2975.573774367875,9964.74776905527,4959.289623946459,5.4581451088106405
25,2976.233964292995,9966.089733187117,4960.389940488325,5.699792698791498
26,2969.3905916373565,9954.756308614438,4948.984319395594,5.771989218844283
27,2971.622618422325,9958.759930161685,4952.7043640372085,6.055566124476172
28,2968.055018656874,9952.951889212653,4946.758364428123,6.1935247845294725
29,2966.3239974380695,9950.247442742575,4943.873329063449,6.374113679125912
30,2962.756430970403,9944.423443515097,4937.927384950672,6.496058564425766
31,2973.7524843508186,9963.271758969402,4956.254140584698,7.017618384704292
32,2973.672210623103,9963.364509777139,4956.120351038506,7.244158738632905
33,2967.3882883471388,9952.964144378338,4945.647147245231,7.316997133107179
34,2972.2739261794673,9961.458949480239,4953.789876965779,7.669072514459913
35,2965.0254155813045,9949.415535628352,4941.709025968841,7.70650965951063
36,2966.264246045032,9951.744338016548,4943.7737434083865,7.970594608161264
37,2954.661200195397,9932.248096003648,4924.435333658996,7.812762344652583
38,2946.8229359071333,9919.086859582865,4911.371559845223,7.715299737642454
39,2947.983394751605,9921.30081064748,4913.305657919342,7.995152728139146
